Major,STEM
Communication and Media Studies,0
"Communication, Journalism, And Related Programs",0
"Communication, Journalism, and Related Programs",0
Communications Systems Installation and Repair Technology,0
Communications Technologies and Support Services,0
Communications Technologies/Technicians And Support Services,0
Communications Technology,0
Community Awareness,0
Community College Education,0
Community Health Services/Liaison/Counseling,0
Community Health and Preventive Medicine,0
Community Involvement,0
Community Organization and Advocacy,0
Community Psychology,0
Comparative Law,0
Comparative Literature,0
Comparative Psychology,1
Comparative and Laboratory Animal Medicine,0
Computational Biology,1
Computational Mathematics,1
Computational Science,1
Computational and Applied Mathematics,1
Computer And Information Sciences And Support Services,0
Computer Engineering,1
Computer Engineering Technologies,1
Computer Engineering Technology,1
Computer Games and Programming Skills,0
Computer Graphics,1
Computer Hardware Engineering,1
Computer Hardware Technology,1
Computer Installation and Repair Technology,0
Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist,0
Computer Programming,1
"Computer Programming, Specific Applications",1
"Computer Programming, Vendor/Product Certification",1
Computer Programming/Programmer,1
Computer Science,1
Computer Software Engineering,1
Computer Software Technology,1
Computer Software and Media Applications,1
Computer Support Specialist,1
Computer Systems Analysis,0
Computer Systems Analysis/Analyst,1
Computer Systems Networking and Telecommunications,1
Computer Teacher Education,0
Computer Technology/Computer Systems Technology,1
Computer Typography and Composition Equipment Operator,0
Computer and Information Sciences,1
Computer and Information Sciences and Support Services,0
"Computer and Information Sciences, Other",0
Computer and Information Systems Security/Information Assurance,1
Computer/Information Technology Administration and Management,0
Computer/Information Technology Services Administration and Management,1
Concrete Finishing/Concrete Finisher,0
Condensed Matter and Materials Physics,1
Conducting,0
Conservation Biology,1
Construction Engineering,1
Construction Engineering Technologies,0
Construction Engineering Technology,1
Construction Management,0
Construction Trades,0
Construction/Heavy Equipment/Earthmoving Equipment Operation,0
Consumer Economics,0
Consumer Merchandising/Retailing Management,0
Consumer Services and Advocacy,0
Cooking and Other Domestic Skills,0
Cooking and Related Culinary Arts,0
Corrections,0
Corrections Administration,0
Corrections and Criminal Justice,0
Cosmetology and Related Personal Grooming Arts,0
Cosmetology and Related Personal Grooming Services,0
"Cosmetology, Barber/Styling, and Nail Instructor",0
Cosmetology/Cosmetologist,0
Costume Design,0
Counseling Psychology,0
Counselor Education/School Counseling and Guidance Services,0
Court Reporting/Court Reporter,0
"Crafts/Craft Design, Folk Art and Artisanry",0
Creative Writing,0
Credit Management,0
Criminal Justice and Corrections,0
Criminal Justice/Law Enforcement Administration,0
Criminal Justice/Police Science,0
Criminal Justice/Safety Studies,0
Criminalistics and Criminal Science,0
Criminology,0
Crisis/Emergency/Disaster Management,0
Critical Care Anesthesiology,0
Critical Care Medicine,0
Critical Care Nursing,0
Critical Care Surgery,0
Critical Incident Response/Special Police Operations,0
Critical Infrastructure Protection,0
Crop Production,0
Culinary Arts and Related Services,0
Culinary Arts/Chef Training,0
Culinary Science/Culinology,0
Cultural Anthropology,0
Cultural Resource Management and Policy Analysis,0
Cultural Studies/Critical Theory and Analysis,0
Cultural/Archaelogical Resources Protection,0
Curriculum and Instruction,0
Customer Service Management,0
Customer Service Support/Call Center/Teleservice Operation,0
Cyber/Computer Forensics and Counterterrorism,1
Cyber/Electronic Operations and Warfare,1
Cytogenetics/Genetics/Clinical Genetics Technology/Technologist,0
Cytopathology,0
Cytotechnology/Cytotechnologist,1
Czech Language and Literature,0
Dairy Husbandry and Production,0
Dairy Science,1
Dance,0
Dance Therapy/Therapist,0
Dancing,0
Danish Language and Literature,0
Data Entry/Microcomputer Applications,0
Data Modeling/Warehousing and Database Administration,1
Data Processing,0
Data Processing and Data Processing Technology,1
Deaf Studies,0
Demography and Population Studies,0
Dental Assisting/Assistant,0
Dental Clinical Sciences,0
Dental Hygiene/Hygienist,0
Dental Laboratory Technology,0
Dental Materials,0
Dental Public Health and Education,0
Dental Services and Allied Professions,0
Dental Support Services and Allied Professions,0
Dentistry,0
Dermatology,0
Dermatopathology,0
Design and Applied Arts,0
Design and Visual Communications,0
Development Economics and International Development,0
Developmental Biology and Embryology,1
Developmental Services Worker,0
Developmental and Child Psychology,1
Developmental/Remedial English,0
Developmental/Remedial Mathematics,0
Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,0
Diagnostic Radiology,0
Diesel Mechanics Technology,0
Dietetic Technician,0
Dietetics and Clinical Nutrition Services,0
Dietetics/Dietitian,0
Dietitian Assistant,0
Digital Arts,0
Digital Communication and Media/Multimedia,1
Direct Entry Midwifery,0
Directed Energy Systems,1
Directing and Theatrical Production,0
Disability Studies,0
Dispute Resolution,0
"Diver, Professional and Instructor",0
Divinity/Ministry,0
Documentary Production,0
Dog/Pet/Animal Grooming,0
Drafting and Design Technology,1
Drafting/Design Engineering Technologies,1
Drama and Dance Teacher Education,0
Drama and Dramatics/Theatre Arts,0
Drama/Theatre Arts and Stagecraft,0
Dramatic/Theatre Arts and Stagecraft,0
Drawing,0
Driver and Safety Teacher Education,0
Drywall Installation/Drywaller,0
Dutch/Flemish Language and Literature,0
E-Commerce/Electronic Commerce,0
Early Childhood Education and Teaching,0
Earth Science Teacher Education,0
"East Asian Languages, Literatures, and Linguistics",0
East Asian Studies,0
Ecology,1
Ecology and Evolutionary Biology,1
"Ecology, Evolution, Systematics and Population Biology",1
"Ecology, Evolution, Systematics, and Population Biology",0
Econometrics and Quantitative Economics,1
Economics,0
Education,0
Education Policy Analysis,0
Education/Teaching of Individuals Who are Developmentally Delayed,0
Education/Teaching of Individuals in Early Childhood Special Education Programs,0
Education/Teaching of Individuals in Elementary Special Education Programs,0
Education/Teaching of Individuals in Junior High/Middle School Special Education Programs,0
Education/Teaching of Individuals in Secondary Special Education Programs,0
Education/Teaching of Individuals with Autism,0
Education/Teaching of Individuals with Emotional Disturbances,0
Education/Teaching of Individuals with Hearing Impairments Including Deafness,0
Education/Teaching of Individuals with Mental Retardation,0
Education/Teaching of Individuals with Multiple Disabilities,0
Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments,0
Education/Teaching of Individuals with Specific Learning Disabilities,0
Education/Teaching of Individuals with Speech or Language Impairments,0
Education/Teaching of Individuals with Traumatic Brain Injuries,0
Education/Teaching of Individuals with Vision Impairments Including Blindness,0
Education/Teaching of the Gifted and Talented,0
Educational Administration and Supervision,0
"Educational Assessment, Evaluation, and Research",0
"Educational Assessment, Testing, and Measurement",0
Educational Evaluation and Research,1
Educational Leadership and Administration,0
Educational Psychology,0
Educational Statistics and Research Methods,1
"Educational, Instructional, and Curriculum Supervision",0
Educational/Instructional Media Design,0
Educational/Instructional Technology,1
Electrical Engineering Technologies,0
Electrical and Electronic Engineering Technologies,1
Electrical and Electronics Engineering,1
Electrical and Power Transmission Installation/Installer,0
Electrical and Power Transmission Installers,0
"Electrical, Electronic and Communications Engineering Technology",1
"Electrical, Electronics and Communications Engineering",1
Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD,1
Electrical/Electronics Equipment Installation and Repair,0
Electrical/Electronics Maintenance and Repair Technology,0
Electrician,0
Electrocardiograph Technology,0
Electrolysis/Electrology and Electrolysis Technician,0
Electromechanical Engineering,1
Electromechanical Instrumentation and Maintenance Technologies,0
Electromechanical Technology/Electromechanical Engineering Technology,1
Electromechanical and Instrumentation and Maintenance Technologies,1
Electroneurodiagnostic/Electroencephalographic Technology/Technologist,0
Elementary Education and Teaching,0
Elementary Particle Physics,1
Elementary and Middle School Administration/Principalship,0
Emergency Care Attendant (EMT Ambulance),0
Emergency Medical Technology (EMT Paramedic),0
Emergency Medicine,0
Emergency Room/Trauma Nursing,0
Endocrinology,1
Endocrinology and Metabolism,0
Endodontics/Endodontology,0
Energy Management and Systems Technology,1
Energy and Biologically Based Therapies,0
"Energy, Environment, and Natural Resources Law",0
Engine Machinist,0
Engineering,1
Engineering Acoustics,1
Engineering Chemistry,1
Engineering Design,1
Engineering Mechanics,1
Engineering Physics,0
Engineering Physics/Applied Physics,1
Engineering Science,1
Engineering Technologies,0
Engineering Technologies And Engineering-Related Fields,0
Engineering Technologies and Engineering-Related Fields,1
Engineering Technology,1
Engineering-Related Fields,1
Engineering-Related Technologies,1
Engineering/Industrial Management,1
English Composition,0
English Language And Literature/Letters,0
English Language and Literature,0
English Language and Literature/Letters,0
English Literature (British and Commonwealth),0
English/Language Arts Teacher Education,0
Entomology,1
Entrepreneurial and Small Business Operations,0
Entrepreneurship/Entrepreneurial Studies,0
Environmental Biology,1
Environmental Chemistry,1
Environmental Control Technologies,1
Environmental Design,0
Environmental Design/Architecture,0
Environmental Education,0
Environmental Engineering Technology/Environmental Technology,1
Environmental Health,1
Environmental Psychology,0
Environmental Science,1
Environmental Studies,1
Environmental Toxicology,1
Environmental/Environmental Health Engineering,1
Epidemiology,1
Equestrian/Equine Studies,0
Ethics,0
Ethnic Studies,0
"Ethnic, Cultural Minority, Gender, and Group Studies",0
European History,0
European Studies/Civilization,0
Evolutionary Biology,1
Executive Assistant/Executive Secretary,0
Exercise Physiology,1
Experimental Psychology,1
Explosive Ordinance/Bomb Disposal,1
Facial Treatment Specialist/Facialist,0
Facilities Planning and Management,0
Family And Consumer Sciences/Human Sciences,0
Family Medicine,0
Family Practice Nurse/Nurse Practitioner,0
Family Practice Nurse/Nursing,0
Family Psychology,0
Family Resource Management Studies,0
Family Systems,0
Family and Community Services,0
Family and Consumer Economics and Related Services,0
Family and Consumer Economics and Related Studies,0
Family and Consumer Sciences/Home Economics Teacher Education,0
Family and Consumer Sciences/Human Sciences,0
Family and Consumer Sciences/Human Sciences Business Services,0
Family and Consumer Sciences/Human Sciences Communication,0
Farm/Farm and Ranch Management,0
Fashion Merchandising,0
Fashion Modeling,0
Fashion and Fabric Consultant,0
Fashion/Apparel Design,0
"Fiber, Textile and Weaving Arts",0
Filipino/Tagalog Language and Literature,0
Film/Cinema/Video Studies,0
Film/Video and Photographic Arts,0
Finance,0
Finance and Financial Management Services,0
Financial Forensics and Fraud Investigation,0
Financial Mathematics,1
Financial Planning and Services,0
Fine Arts and Art Studies,0
Fine and Studio Arts,0
Fine and Studio Arts Management,0
Fine/Studio Arts,0
Fire Prevention and Safety Technology,0
Fire Protection,0
Fire Science/Fire-fighting,0
Fire Services Administration,0
Fire Systems Technology,0
Fire/Arson Investigation and Prevention,0
Fishing and Fisheries Sciences and Management,0
Flagging and Traffic Control,0
Flight Instructor,0
Floriculture/Floristry Operations and Management,0
Folklore Studies,0
Food Preparation/Professional Cooking/Kitchen Assistant,0
Food Science,1
Food Science and Technology,1
"Food Service, Waiter/Waitress, and Dining Room Management/Manager",0
Food Technology and Processing,1
"Foods, Nutrition, and Related Services",0
"Foods, Nutrition, and Wellness Studies",0
Foodservice Systems Administration/Management,0
Foreign Language Teacher Education,0
Foreign Languages and Literatures,0
"Foreign Languages, Literatures, And Linguistics",0
"Foreign Languages, Literatures, and Linguistics",0
Forensic Chemistry,1
Forensic Pathology,0
Forensic Psychology,0
Forensic Science and Technology,1
Forest Engineering,1
Forest Management/Forest Resources Management,0
Forest Resources Production and Management,0
Forest Sciences and Biology,1
Forest Technology,0
Forestry,0
Franchising and Franchise Operations,0
French Language Teacher Education,0
French Language and Literature,0
French Studies,0
Funeral Direction/Service,0
Funeral Service and Mortuary Science,0
Furniture Design and Manufacturing,0
Game and Interactive Media Design,0
Gastroenterology,0
Gay/Lesbian Studies,0
Gene/Genetic Therapy,0
General Literature,0
"General Merchandising, Sales, and Related Marketing Operations",0
General Office Occupations and Clerical Services,0
"General Sales, Merchandising and Related Marketing Operations",0
General Studies,0
General Surgery,0
Genetic Counseling/Counselor,0
Genetics,1
Genome Sciences/Genomics,1
Geochemistry,1
Geochemistry and Petrology,1
Geographic Information Science and Cartography,1
Geography,0
Geography Teacher Education,0
Geography and Cartography,0
Geological and Earth Sciences/Geosciences,1
Geological/Geophysical Engineering,1
Geology/Earth Science,1
Geometry/Geometric Analysis,1
Geophysics and Seismology,1
Geotechnical and Geoenvironmental Engineering,1
Geriatric Medicine,0
Geriatric Medicine (Internal Medicine),0
Geriatric Nurse/Nursing,0
German Language Teacher Education,0
German Language and Literature,0
German Studies,0
"Germanic Languages, Literatures, and Linguistics",0
Gerontology,0
Geropsychology,0
Glazier,0
Golf Course Operation and Grounds Management,0
Graphic Communications,0
Graphic Design,0
Graphic and Printing Equipment Operator Production,0
Greenhouse Operations and Management,0
Ground Transportation,0
Gunsmithing/Gunsmith,0
Hair Styling/Stylist and Hair Design,0
Hand Surgery,0
Handicrafts and Model-Making,0
Hazardous Materials Information Systems Technology,1
Hazardous Materials Management and Waste Technology,1
Health Aide,0
Health Aides/Attendants/Orderlies,0
Health Communication,0
Health Information/Medical Records Administration/Administrator,0
Health Information/Medical Records Technology,0
Health Law,0
Health Occupations Teacher Education,0
Health Policy Analysis,0
Health Professions And Related Programs,0
Health Professions and Related Clinical Sciences,0
Health Psychology,0
Health Services Administration,0
Health Services/Allied Health/Health Sciences,0
Health Teacher Education,0
Health Unit Coordinator/Ward Clerk,0
Health Unit Manager/Ward Supervisor,0
Health and Medical Administrative Services,0
Health and Physical Education/Fitness,0
Health and Wellness,0
Health-Related Knowledge And Skills,0
Health-Related Knowledge and Skills,0
Health/Health Care Administration/Management,0
Health/Medical Claims Examiner,0
Health/Medical Physics,1
Health/Medical Preparatory Programs,0
Health/Medical Psychology,0
Hearing Instrument Specialist,0
"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology",0
"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology (HAC, HACR, HVAC, HVACR)",0
"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology",1
Heavy Equipment Maintenance Technology,0
Heavy/Industrial Equipment Maintenance Technologies,0
Hebrew Language and Literature,0
Hematological Pathology,0
Hematology,0
Hematology Technology,0
Herbalism/Herbalist,0
High Performance and Custom Engine Technician/Mechanic,0
High School Certificate of Competence Program,0
High School Equivalence Certificate Program,0
High School/Secondary Certificate Programs,0
High School/Secondary Certificates,0
High School/Secondary Diploma Programs,0
High School/Secondary Diplomas And Certificates,0
Higher Education/Higher Education Administration,0
Hindi Language and Literature,0
Hindu Studies,0
"Hispanic and Latin American Languages, Literatures, and Linguistics",0
"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies",0
Histologic Technician,0
Histologic Technology/Histotechnologist,0
Historic Preservation and Conservation,0
History,0
History Teacher Education,0
History and Philosophy of Science and Technology,0
Holistic Health,0
Holocaust and Related Studies,0
Home Furnishings and Equipment Installers,0
Home Health Aide/Home Attendant,0
Home Maintenance and Improvement,0
Homeland Security,0
"Homeland Security, Law Enforcement, Firefighting And Related Protective Services",0
"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",0
Homeopathic Medicine/Homeopathy,0
Honors/Regents High School/Secondary Diploma Program,0
Horse Husbandry/Equine Science and Management,0
Horticultural Science,1
Hospital and Health Care Facilities Administration/Management,0
Hospitality Administration/Management,0
Hospitality and Recreation Marketing Operations,0
"Hotel, Motel, and Restaurant Management",0
Hotel/Motel Administration/Management,0
Housing and Human Environments,0
Human Biology,1
Human Computer Interaction,1
Human Development and Family Studies,0
"Human Development, Family Studies, and Related Services",0
Human Nutrition,0
Human Resources Development,0
Human Resources Management and Services,0
Human Resources Management/Personnel Administration,0
Human Services,0
Human/Medical Genetics,1
Humanities/Humanistic Studies,0
Hungarian/Magyar Language and Literature,0
Hydraulics and Fluid Power Technology,1
Hydrology and Water Resources Science,1
Hypnotherapy/Hypnotherapist,0
Illustration,0
Immunology,1
Immunopathology,0
Indian/Native American Education,0
Indonesian/Malay Languages and Literatures,0
Industrial Electronics Technology,0
Industrial Engineering,1
Industrial Mechanics and Maintenance Technology,0
Industrial Production Technologies,1
Industrial Radiologic Technology,1
Industrial Safety Technology,1
Industrial Technology,1
Industrial and Organizational Psychology,0
Industrial and Physical Pharmacy and Cosmetic Sciences,1
Industrial and Product Design,0
Industry Studies,0
Infectious Disease,0
Informatics,1
Information Operations/Joint Information Operations,1
Information Resources Management,0
Information Science/Studies,1
Information Technology,1
Information Technology Project Management,1
Information/Psychological Warfare and Military Media Relations,1
Inorganic Chemistry,1
Institutional Food Workers,0
Instrumentation Technology,1
Insulator,0
Insurance,0
Integrated Circuit Design,1
Intellectual Property Law,0
Intelligence,1
"Intelligence, Command Control and Information Operations",1
Intercultural/Multicultural and Diversity Studies,0
Interior Architecture,0
Interior Design,0
Intermedia/Multimedia,0
Internal Medicine,0
International Agriculture,0
International Business,0
"International Business, Trade, and Tax Law",0
International Business/Trade/Commerce,0
International Economics,0
International Finance,0
International Law and Legal Studies,0
International Marketing,0
International Policy Analysis,0
International Public Health/International Health,0
International Relations and Affairs,0
International Relations and National Security Studies,0
International and Comparative Education,0
International and Intercultural Communication,0
International/Global Studies,0
Interpersonal And Social Skills,0
Interpersonal Relationships Skills,0
Interpersonal Social Skills,0
Interpersonal and Social Skills,0
Investments and Securities,0
"Iranian Languages, Literatures, and Linguistics",0
"Iranian/Persian Languages, Literatures, and Linguistics",0
Irish Studies,0
Ironworking/Ironworker,0
Islamic Studies,0
Italian Language and Literature,0
Italian Studies,0
